구분,시간대,이용금액,영역 구분,방문인구(명)
축제 기간,00_05,2064256.49,0,24492.84
축제 기간,06_10,95035390.19,0,39865.82
축제 기간,11_13,214841218.81,0,75644.36
축제 기간,14_17,256594288.96,0,103931.31
축제 기간,18_20,42874415.29,0,40161.34
축제 기간,21_23,10991321.18,0,19401.08
축제 전,00_05,959366.66,0,12642.2
축제 전,06_10,46133944.98,0,22384.649999999998
축제 전,11_13,71249934.12,0,25044.13
축제 전,14_17,85272672.81,0,27266.71
축제 전,18_20,26401399.32,0,14971.31
축제 전,21_23,3685449.16,0,8523.960000000001
축제 기간,00_05,5561569.56,500,46467.45
축제 기간,06_10,129097222.06,500,75659.47
축제 기간,11_13,272048148.13,500,143541.32
축제 기간,14_17,337109528.4,500,197217.84
축제 기간,18_20,70413999.46,500,76211.47
축제 기간,21_23,19326490.33,500,36813.53
축제 전,00_05,4424441.29,500,25001.010000000002
축제 전,06_10,88190187.83,500,44300.39
축제 전,11_13,127068961.75,500,49564.5
축제 전,14_17,159110016.92,500,53968.19
축제 전,18_20,49634471.910000004,500,29627.85
축제 전,21_23,11007661.32,500,16863.41
축제 기간,00_05,10993434.86,1000,71024.62
축제 기간,06_10,158538534.92,1000,115690.81
축제 기간,11_13,338669573.09,1000,219012.97999999998
축제 기간,14_17,418704136.83,1000,300860.02
축제 기간,18_20,122590970.73,1000,116297.24
축제 기간,21_23,34080152.32,1000,56223.77
축제 전,00_05,8686265.54,1000,40478.31
축제 전,06_10,123663407.36,1000,71796.83
축제 전,11_13,180176256.65,1000,80237.36
축제 전,14_17,231869874.45,1000,87420.54
축제 전,18_20,101936842.91,1000,47959.86
축제 전,21_23,23632707.31,1000,27304.42
축제 기간,00_05,11511444.88,3000,135934.43
축제 기간,06_10,191062981.92,3000,212902.9
축제 기간,11_13,405785419.55,3000,339475.82
축제 기간,14_17,472652754.01,3000,460760.36
축제 기간,18_20,140723720.08,3000,182974.19
축제 기간,21_23,37488206.52,3000,99596.42
축제 전,00_05,9289496.28,3000,80306.28
축제 전,06_10,151599465.91,3000,137895.37
축제 전,11_13,211827762.16,3000,142496.23
축제 전,14_17,294934090.57,3000,162871.57
축제 전,18_20,116274855.32,3000,85939.32
축제 전,21_23,25914147.85,3000,53660.37
